Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
638,Game,,,Neutrals,undefined,Sylvan Ancients,Siren Song,village,12821,771.68,351.45,47.28,-77.52,289,17°C,Lisbon (Portugal),,,,,,,,{t1:gules;division:{division:perFess;t:or;line:straight};charges:[{charge:mulletPierced;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=12821&name=Game&seed=5864998610638&width=1600&height=780&style=default&tags=highway%2Cfarmland%2Cno+square%2Cdense
639,Canopybough,Cadeze,Cadeze Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,town,18421,1989.75,360.17,46.23,70.52,2116,5°C,Harbin (China),,,,walls,,,,{t1:azure;division:{division:perChevronReversed;t:fusily-vert-argent;line:escartely};charges:[{charge:mullet;t:or;p:mok;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopybough&population=18421&size=39&seed=5864998610639&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
640,Canopyshopyc,,,Neutrals,undefined,Canopy-Climbers,The Whisperers,town,12415,1418.86,376.4,44.25,1.14,289,18°C,Barcelona (Spain),,port,,,,,,{t1:purpure;charges:[{charge:plaice;t:argent;p:jlh;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Canopyshopyc&population=12415&size=34&seed=5864998610640&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.79
641,Canopyglice,,,Neutrals,undefined,Canopy-Climbers,The Whisperers,town,2489,1387.97,397.09,41.74,-2.62,289,18°C,Barcelona (Spain),,,citadel,walls,,,,{t1:or;ordinaries:[{ordinary:cross;t:vert;line:flechy}];charges:[{charge:deerHeadCaboshed;t:purpure;p:acgi;t2:purpure;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopyglice&population=2489&size=18&seed=5864998610641&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
642,Canopywispw,Canopytanopy,Canopytanopy Province,Canopy,Confederacy of Canopy,Canopy-Climbers,Toxic Liquidity,town,26530,1720.09,406.35,40.61,37.75,1681,10°C,London (England),,,,,,,,{t1:chequy-argent-azure-smaller;division:{division:perPale;t:gules;line:straight};ordinaries:[{ordinary:saltire;t:vert;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Canopywispw&population=26530&size=45&seed=5864998610642&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
643,Scutainvia,Scutaim,Scutaim Canton,Scute,Scutean Confederacy,Stone-Scales,True Smelt,town,32402,2455.69,407.67,40.45,127.15,289,19°C,Marrakesh (Morocco),,,,,,,,{t1:vert;division:{division:perFess;t:argent;line:straight};charges:[{charge:stirrup;t:or;p:giz;t2:or;divided:field;size:0.4};{charge:horsePassant;t:azure;p:e;divided:division;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainvia&population=32402&size=48&seed=5864998610643&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
644,Grungor,Scutaimu,Scutaimu Canton,Scute,Scutean Confederacy,Manis,The Whisperers,town,2380,2564.9,405.6,40.7,140.42,289,19°C,Marrakesh (Morocco),,,,,,,,{t1:tenné;charges:[{charge:tower;t:or;p:abcpqh;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grungor&population=2380&size=18&seed=5864998610644&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
645,Canopyfernw,,,Neutrals,undefined,Canopy-Climbers,The Rotting Vessel,town,16203,1500.31,410.77,40.08,11.04,400,18°C,Barcelona (Spain),,,,,,,,{t1:gules;division:{division:perCross;t:argent;line:embattledGrady};charges:[{charge:crossCeltic;t:or;p:jl;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Canopyfernw&population=16203&size=37&seed=5864998610645&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
646,Caker,Canopywindia,Canopywindia Province,Canopy,Confederacy of Canopy,Canopy-Climbers,The Whisperers,town,13445,1733.08,420.87,38.85,39.33,1296,13°C,Milan (Italy),,,,walls,,,,{t1:fusily-argent-azure;charges:[{charge:key;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Caker&population=13445&size=35&seed=5864998610646&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
647,Shale,Frostia,Frostia Commune,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,9842,931.93,447.7,35.59,-58.04,256,20°C,Alexandria (Egypt),,,,,,,,{t1:azure;charges:[{charge:catPassantGuardant;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shale&population=9842&size=31&seed=5864998610647&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
648,Calew,Canopywindia,Canopywindia Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,town,12281,1725.66,452.09,35.05,38.42,400,19°C,Marrakesh (Morocco),,port,,walls,,,,{t1:sable;charges:[{charge:snake;t:argent;p:jln;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Calew&population=12281&size=33&seed=5864998610648&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
649,Scuta,Scutainia,Scutainia County,Scute,Scutean Confederacy,Stone-Scales,True Smelt,village,12894,2448.14,450.24,35.28,126.23,400,19°C,Marrakesh (Morocco),,,,,,,,{t1:or;charges:[{charge:shield;t:gules;p:jln;t2:gules;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=12894&name=Scuta&seed=5864998610649&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
650,Snowsnarl,Frostia,Frostia Commune,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,2236,923.76,461.99,33.85,-59.03,289,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:azure;ordinaries:[{ordinary:pileInBend;t:or}];charges:[{charge:axe;t:vert;p:e;t2:vert;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Snowsnarl&population=2236&size=18&seed=5864998610650&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
651,Astreara,Celuroria,Celuroria Land,Theocracy,Holy State of Theocracy,Dolphin-Kin,The Strangler,town,2541,303.22,473.43,32.46,-134.45,256,21°C,Tegucigalpa (Honduras),,,,walls,,temple,,{t1:azure;charges:[{charge:talbotSejant;t:or;p:jln;t2:or;t3:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Astreara&population=2541&size=18&seed=5864998610651&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&style=natural
652,Grumtnok,Frostia,Frostia Community,Sylvania,Sylvanian Commune,Ursine,The Whisperers,town,15228,859.58,484.19,31.15,-66.83,289,21°C,Tegucigalpa (Honduras),,port,,,,,,{t1:argent;ordinaries:[{ordinary:bend;t:gules;line:indented}];charges:[{charge:goutte;t:argent;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grumtnok&population=15228&size=36&seed=5864998610652&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
653,Caver,,,Neutrals,undefined,Canopy-Climbers,True Smelt,village,3704,1670.54,477.32,31.99,31.72,225,22°C,Guangzhou (China),,port,,,,,,{t1:argent;charges:[{charge:lionPassant;t:vert;p:bdefh;t2:vert;t3:vert;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=3704&name=Caver&seed=5864998610653&width=1600&height=780&style=default&tags=estuary%2Chighway%2Cfarmland%2Cno+square%2Cdense
654,Scutaimu,Scutaimu,Scutaimu Canton,Scute,Scutean Confederacy,Stone-Scales,The Whisperers,town,4634,2521.83,488.33,30.65,135.18,361,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:gules;division:{division:perFess;t:argent;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Scutaimu&population=4634&size=23&seed=5864998610654&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
655,Zepho,Aete,Aete Province,Prism,Prisman Protectorate,Crows,The Whisperers,village,37060,2124.38,553.99,22.67,86.88,225,24°C,Dakar (Senegal),,port,citadel,,,,,{t1:or;charges:[{charge:anchor;t:azure;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=37060&name=Zepho&seed=5864998610655&width=1600&height=780&style=default&tags=estuary%2Chighway%2Cuncultivated%2Cno+square%2Cdense
656,Nuan,Nuan,Nuan Canton,Prism,Prisman Protectorate,Crows,The Whisperers,town,21581,2091.03,574.94,20.12,82.83,400,23°C,Rio de Janeiro (Brazil),,,,walls,,,,{t1:gules;charges:[{charge:greyhoundSejant;t:argent;p:jln;t2:argent;t3:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Nuan&population=21581&size=41&seed=5864998610656&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
657,Thunder,Aete,Aete Province,Prism,Prisman Protectorate,Penguins,The Whisperers,village,23064,2193.26,592.64,17.97,95.25,256,24°C,Dakar (Senegal),,,,,,,,{t1:azure;division:{division:perPale;t:argent;line:potenty};ordinaries:[{ordinary:canton;t:or;divided:counter}];shield:heater},https://watabou.github.io/village-generator/?pop=23064&name=Thunder&seed=5864998610657&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
658,Grunkis,,,Neutrals,undefined,Ursine,The Strangler,village,26151,973.61,598.87,17.21,-52.97,1225,19°C,Marrakesh (Morocco),,,,,,,,{t1:azure;division:{division:gyronny;t:or};charges:[{charge:horseshoe;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=26151&name=Grunkis&seed=5864998610658&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
659,Scutaprexi,Scutain,Scutain County,Scute,Scutean Confederacy,Stone-Scales,The Whisperers,town,2974,2573.59,599.32,17.16,141.47,3136,7°C,Montreal (Canada),,port,,walls,,,,{t1:semy_of_gear-argent-azure;charges:[{charge:crossLatin;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaprexi&population=2974&size=20&seed=5864998610659&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.7
660,Grun,Grun,Grun Prefecture,Ursine,Ursinean Oligarchy,Ursine,The Whisperers,town,8733,935.22,708.94,3.84,-57.64,400,26°C,Jakarta (Indonesia),,,,walls,,,,{t1:azure;division:{division:perCross;t:argent;line:dovetailed};charges:[{charge:key;t:or;p:jlmo;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Grun&population=8733&size=29&seed=5864998610660&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
661,Scutaindest,Scutainvic,Scutainvic State,Scute,Scutean Confederacy,Monitor-Kin,The Whisperers,town,3074,2460.74,737.02,0.42,127.76,225,28°C,Bangkok (Thailand),,,,walls,,,,{t1:sable;charges:[{charge:lionHeadCaboshed;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaindest&population=3074&size=20&seed=5864998610661&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
662,Scutainvicta,,,Neutrals,undefined,Monitor-Kin,The Whisperers,town,17923,2689.66,736.95,0.43,155.58,324,27°C,Mogadishu (Somalia),,,citadel,,plaza,,,{t1:gules;charges:[{charge:ratRampant;t:argent;p:jln;t2:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainvicta&population=17923&size=39&seed=5864998610662&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
663,Lightoth,Shadowhis,Shadowhis County,Sumpkin,Marches of Sumpkin,Frogs,The Whisperers,town,2897,512.23,815.02,-9.06,-109.05,1600,18°C,Barcelona (Spain),,port,citadel,,,,,{t1:argent;division:{division:perChevron;t:vert;line:arched};charges:[{charge:escallop;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lightoth&population=2897&size=19&seed=5864998610663&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.12
664,Scutainviabi,Irongia,Irongia County,Scute,Scutean Confederacy,Monitor-Kin,The Blind Spot,town,7739,2519.12,809.06,-8.33,134.85,256,26°C,Jakarta (Indonesia),,,,,,,,{t1:sanguine;division:{division:chevronny;t:argent};charges:[{charge:fusil;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainviabi&population=7739&size=28&seed=5864998610664&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
665,Heartveil,Heartnail,Heartnail Canton,Heartlands,Heartlands Federation,Quill-Kin,The Whisperers,village,2446,1270.42,835.53,-11.55,-16.9,361,26°C,Jakarta (Indonesia),,,,,,,,{t1:or;charges:[{charge:crossHummetty;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2446&name=Heartveil&seed=5864998610665&width=1600&height=780&style=default&tags=highway%2Cuncultivated%2Cno+square%2Cdense
666,Scutainflexi,Irongia,Irongia County,Scute,Scutean Confederacy,Monitor-Kin,The Blind Spot,town,38694,2531.32,831.08,-11.01,136.34,225,27°C,Mogadishu (Somalia),,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:point;t:argent}];charges:[{charge:inescutcheon;t:or;p:acbdef;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainflexi&population=38694&size=52&seed=5864998610666&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
667,Scutaindest,Ironfistfal,Ironfistfal Canton,Meridian Chain,Meridian Chainese League,Monitor-Kin,The Blind Spot,town,20439,2484.3,843,-12.46,130.62,361,26°C,Jakarta (Indonesia),,,,,,,,{t1:argent;charges:[{charge:horseshoe;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaindest&population=20439&size=41&seed=5864998610667&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
668,Anjawraith,Ironfistfal,Ironfistfal Canton,Meridian Chain,Meridian Chainese League,Serpent-Kin,The Blind Spot,village,16329,2445.28,893.42,-18.59,125.88,324,25°C,Miami (USA),,,,walls,,,,{t1:or;charges:[{charge:helmet;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=16329&name=Anjawraith&seed=5864998610668&width=1600&height=780&style=default&tags=isolated%2Cno+square%2Cpalisade%2Cdense
669,Xylarariaxa,,,Neutrals,undefined,Orcas,The Frozen Heart,town,16053,406.8,902.28,-19.66,-121.86,256,24°C,Dakar (Senegal),,,,,,,,{t1:or;division:{division:perPale;t:vert;line:embattled};charges:[{charge:mullet;t:azure;p:p;size:0.7};{charge:roundel2;t:argent;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Xylarariaxa&population=16053&size=37&seed=5864998610669&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
670,Ironspertex,Glintwhis,Glintwhis District,Hive,Hivean Chancellery,Stinging Hive-Kin,Cult of Identity,city,3029,1863.66,904.46,-19.93,55.2,361,24°C,Dakar (Senegal),,,,walls,,,,{t1:argent;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ironspertex&population=3029&size=20&seed=5864998610670&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
671,Zephylarax,,,Neutrals,undefined,Orcas,The Frozen Heart,village,31168,371.2,921.47,-22,-126.19,324,24°C,Dakar (Senegal),,,,walls,,,,{t1:chequy-gules-or;ordinaries:[{ordinary:bordure;t:argent}];shield:heater},https://watabou.github.io/village-generator/?pop=31168&name=Zephylarax&seed=5864998610671&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cuncultivated%2Cno+square%2Cpalisade%2Cdense
672,Pyxa,,,Neutrals,undefined,Orcas,The Frozen Heart,town,22734,400.29,980.95,-29.22,-122.65,289,23°C,Rio de Janeiro (Brazil),,port,,,plaza,,,{t1:gules;division:{division:perFess;t:argent;line:wavy};charges:[{charge:inescutcheon;t:or;p:k;size:0.7};{charge:scissors2;t:azure;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Pyxa&population=22734&size=42&seed=5864998610672&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.82
673,Fluthe,Vormuronia,Vormuronia County,Flower Valley,Flower Valley Marches,Terror-Fowl,The Whisperers,town,8255,1750.04,1006.86,-32.37,41.39,289,23°C,Rio de Janeiro (Brazil),,,citadel,walls,,,,{t1:azure;charges:[{charge:billet;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Fluthe&population=8255&size=29&seed=5864998610673&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
674,Wildt,Vormuronia,Vormuronia County,Flower Valley,Flower Valley Marches,Moon-Blossoms,The Whisperers,town,12227,1723.54,1020.86,-34.07,38.17,324,22°C,Guangzhou (China),,port,citadel,walls,,,,{t1:or;ordinaries:[{ordinary:saltire;t:purpure;line:straight}];charges:[{charge:escallop;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Wildt&population=12227&size=33&seed=5864998610674&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.36
675,Sora,Nightstorm,Nightstorm Canton,Meridian Chain,Meridian Chainese League,Walrus-Kin,The Whisperers,town,2227,2184.99,1029.34,-35.11,94.25,324,22°C,Guangzhou (China),,,,,,,,{t1:argent;charges:[{charge:arbalest2;t:sable;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sora&population=2227&size=18&seed=5864998610675&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
676,Inemist,,,Neutrals,undefined,Serpent-Kin,The Whisperers,village,16054,2686.16,1059.12,-38.72,155.16,256,22°C,Guangzhou (China),,port,,walls,,,,{t1:azure;division:{division:perCross;t:or;line:straight};charges:[{charge:crescent;t:argent;p:jlmo;divided:counter;size:0.6}];shield:heater},https://watabou.github.io/village-generator/?pop=16054&name=Inemist&seed=5864998610676&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cpalisade%2Cdense
677,Luma,Dradowflowra,Dradowflowra Clan,Heartlands,Heartlands Federation,Fowl,Quicksilver Mother,town,11562,1469.96,1074.97,-40.65,7.35,3025,3°C,Tromsø (Norway),,,,,,,,{t1:azure;charges:[{charge:crossAvellane;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Luma&population=11562&size=33&seed=5864998610677&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
678,Xyla,Celuroria,Celuroria Province,Vaneer,Protectorate of Vaneer,Walrus-Kin,Wreckless Motion,town,9015,1061.6,1099.08,-43.58,-42.28,361,21°C,Tegucigalpa (Honduras),,,,walls,,,,{t1:murrey;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:sunInSplendour2;t:vert;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Xyla&population=9015&size=30&seed=5864998610678&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
